  'm-h': `X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.671232877	56.06	8.10	10.81	15.28	11.45	9.12	4.34
0.673972603	56.06	8.06	10.85	15.31	11.42	9.12	4.34
0.676712329	56.06	8.06	10.85	15.31	11.42	9.12	4.34
0.679452055	56.38	7.76	10.83	15.40	11.35	9.11	4.34
0.682191781	56.38	7.76	10.83	15.40	11.35	8.89	4.56
0.684931507	56.38	7.76	10.63	15.61	11.35	8.89	4.56
0.687671233	56.38	7.76	10.64	15.59	11.35	8.89	4.56
0.690410959	56.38	7.76	10.66	15.57	11.29	8.95	4.56
0.693150685	56.38	7.76	10.66	15.57	11.29	8.95	4.56
0.695890411	56.38	7.78	10.65	15.60	11.35	8.86	4.56
0.698630137	56.38	7.79	10.64	15.52	11.33	8.95	4.56
0.701369863	56.38	7.79	10.64	15.52	11.33	8.99	4.52
0.704109589	56.38	7.79	10.64	15.63	11.32	8.90	4.48
0.706849315	56.38	7.79	10.64	15.49	11.45	8.89	4.49
0.709589041	56.38	7.79	10.64	15.49	11.45	8.89	4.49
0.712328767	55.63	8.62	10.56	15.49	11.45	8.89	4.49
0.715068493	55.63	8.62	10.56	15.55	11.39	8.89	4.49
0.717808219	55.63	8.62	10.56	15.55	11.39	8.89	4.49
0.720547945	55.60	8.64	10.56	15.60	11.34	8.90	4.49
0.723287671	55.58	8.66	10.56	15.55	11.37	8.95	4.45
0.726027397	54.60	9.65	10.55	15.55	11.29	9.04	4.45
0.728767123	54.60	9.65	10.89	15.14	11.43	8.96	4.45
0.731506849	54.60	9.65	10.89	15.11	11.46	8.96	4.45
0.734246575	54.60	9.57	10.98	15.11	11.34	9.08	4.45
0.736986301	54.60	9.57	10.98	14.93	11.52	9.08	4.45
0.739726027	54.60	9.57	10.68	15.23	11.52	9.08	4.45
0.742465753	54.60	9.58	10.66	15.33	11.37	9.13	4.45
0.745205479	54.60	9.17	11.08	15.22	11.48	9.14	4.40
0.747945205	54.60	9.16	11.08	15.22	11.48	9.03	4.51
0.750684932	54.60	9.07	11.17	15.22	11.48	9.03	4.51
0.753424658	54.60	9.07	11.17	15.22	11.48	9.03	4.55
0.756164384	54.60	9.07	11.17	15.22	11.48	9.03	4.55
0.758904110	54.60	9.07	11.17	15.22	11.48	9.03	4.52
0.761643836	54.60	9.07	11.17	15.22	11.48	9.03	4.52
0.764383562	54.60	9.07	11.17	15.22	11.47	9.04	4.60
0.767123288	54.60	9.07	11.26	15.13	11.47	9.04	4.60
0.769863014	54.23	9.44	11.26	15.13	11.45	9.06	4.60
0.772602740	54.23	9.44	11.26	15.13	11.44	9.08	4.60
0.775342466	54.20	9.47	11.26	15.13	11.51	9.00	4.66
0.778082192	54.20	9.38	11.35	15.11	11.53	9.00	4.66
0.780821918	54.20	9.38	11.35	15.11	11.53	9.00	4.66
0.783561644	54.20	9.38	11.35	15.00	11.64	9.00	4.66
0.786301370	54.20	9.38	11.36	15.06	11.58	9.00	4.66
0.789041096	54.20	9.38	11.36	15.06	11.58	8.94	4.72
0.791780822	54.20	9.37	11.37	14.97	11.76	8.85	4.72
0.794520548	54.20	9.37	11.37	14.97	11.76	8.85	4.72
0.797260274	54.03	9.54	11.37	14.97	11.76	8.85	4.73
0.800000000	54.03	9.54	11.31	14.96	11.82	8.85	4.51
0.802739726	54.03	9.46	11.40	14.96	11.82	8.86	4.50
0.805479452	54.03	9.46	11.40	14.94	11.84	8.86	4.50
0.808219178	54.03	9.46	11.40	14.90	11.88	8.86	4.50
0.810958904	54.03	9.46	11.40	14.90	11.88	8.85	4.51
0.813698630	54.03	9.46	11.40	14.87	11.91	8.85	4.51
0.816438356	53.83	9.61	11.40	14.92	11.91	8.85	4.51
0.819178082	53.83	9.61	11.39	14.93	11.91	8.85	4.52
0.821917808	53.83	9.61	11.39	14.93	11.86	8.90	4.52
0.824657534	53.83	9.61	11.39	14.93	11.95	8.81	4.48
0.827397260	53.83	9.61	11.06	15.26	11.94	8.81	4.48
0.830136986	53.82	9.52	11.15	15.32	11.80	8.90	4.48
0.832876712	53.82	9.52	11.14	15.31	11.83	8.88	4.48
0.835616438	53.82	9.52	11.14	15.31	11.83	8.89	4.47
0.838356164	53.82	9.47	11.19	15.35	11.80	8.89	4.47
0.841095890	53.40	9.90	11.19	15.35	11.80	8.89	4.48
0.843835616	53.40	9.90	11.19	15.35	11.78	8.91	4.48
0.846575342	53.40	9.90	11.19	15.35	11.78	8.91	4.48
0.849315068	53.40	9.90	11.19	15.35	11.78	8.91	4.48
0.852054795	53.40	9.90	11.19	15.44	11.69	8.91	4.48
0.854794521	53.40	9.81	11.49	15.22	11.69	8.91	4.48
0.857534247	53.40	9.81	11.53	15.10	11.76	8.91	4.48
0.860273973	53.40	9.81	11.53	15.10	11.76	8.84	4.55
0.863013699	53.40	9.81	11.46	15.17	11.76	8.84	4.56
0.865753425	53.40	9.81	11.46	15.17	11.76	8.84	4.51
0.868493151	53.34	9.84	11.49	15.21	11.73	8.84	4.51
0.871232877	53.34	9.84	11.49	15.21	11.68	8.89	4.51
0.873972603	53.34	9.92	11.41	15.21	11.67	8.91	4.51
0.876712329	53.34	9.92	11.34	15.28	11.67	8.91	4.51
0.879452055	53.34	9.92	11.34	15.23	11.77	8.85	4.51
0.882191781	53.31	9.86	11.43	15.23	11.77	8.86	4.51
0.884931507	53.31	9.86	11.43	15.23	11.77	8.86	4.51
0.887671233	53.31	9.86	11.43	15.23	11.80	8.82	4.51
0.890410959	53.31	9.86	11.43	15.18	11.84	8.83	4.51
0.893150685	53.31	9.86	11.43	15.18	11.84	8.83	4.51
0.895890411	53.31	9.86	11.52	15.09	11.84	8.83	4.51
0.898630137	53.31	9.86	11.52	15.09	11.84	8.83	4.51
0.901369863	53.32	10.11	11.27	15.04	11.89	8.84	4.51
0.904109589	53.26	10.16	11.10	15.18	11.91	8.90	5.41
0.906849315	53.26	9.87	11.38	15.19	11.91	8.90	5.41
0.909589041	53.05	9.99	11.47	15.19	11.89	8.80	5.54
0.912328767	53.05	10.02	11.44	15.18	11.90	8.80	5.54
0.915068493	53.05	10.02	11.44	15.13	11.95	8.83	5.51
0.917808219	53.05	9.86	11.60	15.13	11.95	8.83	5.51
0.920547945	53.05	9.86	11.32	15.41	11.91	8.87	5.51
0.923287671	53.05	9.86	11.25	15.48	11.91	8.87	5.51
0.926027397	53.28	9.63	11.23	15.36	12.14	8.79	5.51
0.928767123	53.28	9.29	11.57	15.36	12.14	8.79	5.59
0.931506849	53.28	9.60	11.25	15.36	12.14	8.79	5.59
0.934246575	53.28	9.60	11.23	15.38	12.13	8.79	5.59
0.936986301	53.28	9.60	11.23	15.38	12.13	8.79	5.59
0.939726027	53.23	9.66	11.23	15.33	12.18	8.79	5.59
0.942465753	53.23	9.66	11.22	15.31	12.22	8.79	5.59
0.945205479	53.23	9.70	11.25	15.23	12.22	8.80	5.59
0.947945205	53.23	9.70	11.25	15.23	12.22	8.80	5.59
0.950684932	53.23	9.70	11.25	15.19	12.32	8.74	5.59
0.953424658	53.23	9.70	11.28	15.15	12.32	8.74	5.59
0.956164384	53.21	9.72	11.39	15.04	12.31	8.75	5.59
0.958904110	53.21	9.72	11.39	15.04	12.31	8.75	5.59
0.961643836	53.22	9.71	11.39	15.04	12.31	8.77	5.56
